id,original,translation,approved,drift_score,validation_score
I0041,Am a physical coward,危険なことから逃げる,,2.00,4.00
I0042,Am a spiritual person,スピリチュアルな人間だ,1,5.00,4.00
I0043,Am a strange person,普通でない人間だ,,4.00,2.00
I0044,Am a true life-long learner,生涯学び続ける,1,4.00,5.00
I0045,Am a very private person,プライベートを大切にする,,3.00,5.00
I0046,Am a very reliable person,とても信頼できる人間だ,,5.00,3.00
I0047,"Am a workaholic, with little time for fun or pleasure",仕事中毒で楽しむ時間がほとんどない,1,4.00,4.00
I0048,Am able to come up with new and different ideas,新しく独創的なアイデアを思いつく,1,4.00,5.00
I0049,Am able to control my cravings,欲求をコントロールできる,1,4.00,5.00
I0050,Am able to cooperate with others,他者と協力できる,1,5.00,5.00
I0051,Am able to describe my feelings easily,自分の感情を簡単に説明できる,1,5.00,5.00
I0052,Am able to find out things by myself,物事を自力で調べられる,,3.00,4.67
I0053,Am able to fit into any situation,どんな状況にも適応できる,1,5.00,4.33
I0054,Am able to read the minds of others,他人の心が読める,,5.00,2.00
I0055,Am able to stand up for myself,自分の意見を主張できる,1,4.00,5.00
I0056,Am afraid of heights,高所が怖い,1,5.00,4.33
I0057,Am afraid of large dogs,大型犬が怖い,1,5.00,4.33
I0058,Am afraid of many things,怖いものが多い,1,5.00,4.33
I0059,Am afraid that I will do the wrong thing,間違ったことをしてしまわないか心配だ,1,4.00,4.67
I0060,Am afraid that my life will be cut short by illness,病気で人生が短くなることを恐れている,1,4.00,4.00
I0061,Am afraid to draw attention to myself,注目されるのが怖い,1,4.00,4.00
I0062,Am always busy,いつも忙しくしている,1,5.00,5.00
I0063,Am always busy with something interesting,いつも面白いことに取り組んでいる,1,4.00,5.00
I0064,Am always in the same mood,いつも同じ気分でいる,1,5.00,4.33
I0065,Am always on the go,いつも動き回っている,1,4.00,5.00
I0066,Am always prepared,常に準備を整えている,1,5.00,4.67
I0067,Am always ready to start afresh,いつでも心機一転できる,,5.00,3.00
I0068,Am always worried about something,いつも何かを心配している,1,5.00,5.00
I0069,Am always worried that my partner is going to leave me,パートナーに去られるのではないかといつも心配している,1,4.00,4.33
I0070,Am an energetic person,活力に満ちている,1,4.00,4.67
I0071,Am an extremely grateful person,感謝の気持ちを持つ人間だ,,4.00,3.00
I0072,Am an extremely loyal person,非常に忠誠心が強い,,5.00,3.00
I0073,Am an honest person,正直なほうだ,1,4.00,4.00
I0074,Am an original thinker,独創的な考え方をする,1,4.00,5.00
I0075,Am annoyed by others' mistakes,他人のミスにイライラする,1,5.00,5.00
I0076,Am apprehensive about new encounters,新しい出会いに不安を感じる,1,5.00,5.00
I0077,Am attached to conventional ways,従来のやり方にこだわる,1,4.00,5.00
I0078,Am calm even in tense situations,緊張する場面でも冷静でいられる,1,4.00,4.33
I0079,Am careful to avoid making mistakes,ミスを避けるよう注意する,1,5.00,5.00
I0080,Am comfortable in unfamiliar situations,慣れない状況でも落ち着いていられる,1,4.00,4.33
I0081,Am committed to principles of justice and equality,正義と平等の原則を重んじる,1,5.00,5.00
I0082,Am concerned about others,他者のことを気にかける,1,5.00,5.00
I0083,Am considered attractive by others,他者から魅力的だと思われている,1,5.00,4.00
I0084,Am considered to be a wise person,周囲から賢い人だと思われている,1,4.00,4.00
I0085,Am considered to be kind of eccentric,風変わりだと思われている,1,5.00,4.00
I0086,Am constantly reflecting about myself,常に自分自身について考えている,1,4.00,4.67
I0087,Am continually losing things,しょっちゅう物をなくす,1,5.00,5.00
I0088,Am convinced that my way is the best way,自分のやり方が最善だと確信している,1,5.00,4.67
I0089,Am deeply moved by others' misfortunes,他者の不幸に深く心を動かされる,1,5.00,4.33
I0090,Am described as grumpy,不機嫌だと言われる,,3.00,4.67
I0091,Am devoted to religion,宗教に献身的である,1,5.00,4.33
I0092,Am eager to soothe hurt feelings,傷ついた気持ちを和らげようとする,,4.00,3.33
I0093,Am easily annoyed,イライラしやすい,1,4.00,5.00
I0094,Am easily confused,混乱しやすい,1,5.00,5.00
I0095,Am easily controlled by others in my life,他人に左右されやすい,,3.00,5.00
I0096,Am easily discouraged,くじけやすい,1,5.00,5.00
I0097,Am easily disoriented,方向感覚を失いやすい,,3.00,4.33
I0098,Am easily distracted,気が散りやすい,1,5.00,5.00
I0099,Am easily disturbed,動揺しやすい,1,4.00,5.00
I0100,Am easily excited,興奮しやすい,1,5.00,5.00
I0101,Am easily frightened,怖がりやすい,1,5.00,5.00
I0102,Am easily hurt,傷つきやすい,1,5.00,5.00
I0103,Am easily intimidated,威圧されやすい,1,5.00,4.00
I0104,Am easily moved to tears,涙もろい,1,4.00,5.00
I0105,Am easily offended,気を悪くしやすい,1,5.00,5.00
I0106,Am easily put out,イライラしやすい,1,4.00,5.00
I0107,Am easily startled,驚きやすい,1,5.00,5.00
I0108,Am easily talked into doing silly things,乗せられてバカなことをする,,3.00,3.00
I0109,Am easy to satisfy,満足しやすい,1,5.00,3.67
I0110,Am embarrassed to have people see my home,自宅を見せるのが恥ずかしい,,4.00,2.33
I0111,Am emotionally reserved,感情を表に出さない,1,4.00,5.00
I0112,Am exacting in my work,仕事に厳密に取り組む,1,4.00,5.00
I0113,Am excited by many different activities,様々な活動に心が躍る,1,5.00,4.00
I0114,Am excited to inflict pain on others,他人に苦痛を与えると興奮する,1,5.00,4.33
I0115,Am filled with doubts about things,物事に疑念を抱きやすい,,3.00,5.00
I0116,Am full of ideas,アイデアが豊富だ,1,5.00,5.00
I0117,Am generally a fearful person,恐怖を感じやすい,1,4.00,5.00
I0118,Am good at helping people work well together,人々の協力を引き出すのが得意だ,1,4.00,5.00
I0119,Am good at making impromptu speeches,即興スピーチが得意だ,1,5.00,5.00
I0120,Am good at many things,多くのことが得意だ,1,5.00,4.33
I0121,Am good at sensing what others are feeling,他人の感情を察するのが得意だ,1,5.00,5.00
I0122,Am good at taking advice,助言を素直に受け入れる,,3.00,4.33
I0123,Am guided by my moods,気分に左右されやすい,1,4.00,5.00
I0124,Am hard to convince,説得されにくい,1,5.00,4.00
I0125,Am hard to get to know,打ち解けにくい,,3.00,4.33
I0126,Am hard to reason with,理屈が通じにくい,,5.00,3.33
I0127,Am hard to satisfy,満足しにくい,1,5.00,3.67
I0128,Am hard to understand,理解されにくい,,4.00,3.00
I0129,Am humble about the good things that have happened to me,良いことが起きても謙虚でいる,1,4.00,5.00
I0130,Am in awe of simple things in life that others might take for granted,当たり前のことに感動する,,3.00,5.00
I0131,Am inclined to forgive others,人を許す傾向がある,1,5.00,5.00
I0132,Am indifferent to the feelings of others,他人の気持ちに無関心だ,1,5.00,5.00
I0133,Am inexplicably happy some of the time,理由もなく幸せなときがある,1,4.00,4.00
I0134,Am inflexible when I think I'm right,自分が正しいと思うと融通がきかない,1,5.00,5.00
I0135,Am interested in many things,多くのことに興味がある,1,5.00,5.00
I0136,Am interested in people,人に興味がある,,5.00,3.33
I0137,Am interested in science,科学に興味がある,1,5.00,5.00
I0138,Am just an ordinary person,ごく普通の人間だ,1,5.00,5.00
I0139,Am known as a controlling person,支配的な人間だと思われている,,3.00,5.00
I0140,Am less capable than most people,大半の人より能力が劣る,1,5.00,3.67
I0141,Am likely to show off if I get the chance,機会があれば目立とうとする,,3.00,3.33
I0142,Am mainly interested in money,お金のことばかり考える,,2.00,4.33
I0143,Am more capable than most others,他の人より能力が高い,,5.00,2.67
I0144,Am nervous or tense most of the time,いつも緊張しやすい,,3.00,3.67
I0145,Am never at a loss for words,言葉に詰まることがない,1,5.00,3.67
I0146,Am never bored,退屈することがない,1,5.00,4.00
I0147,Am never too busy to help a friend,友人のためなら必ず時間を作る,1,4.00,3.67
I0148,Am nice to people I should be angry at,怒るべき相手にも優しくする,,4.00,3.33
I0149,Am nice to store clerks,店員に親切にする,1,5.00,4.67
I0150,Am not a caring person,思いやりに欠ける,1,4.00,4.00
I0166,Am not considered to have new and different ideas,新しい発想があるとは思われていない,,4.00,3.33
I0167,Am not disturbed by events,出来事に動揺しない,1,4.00,5.00
I0168,Am not easily affected by my emotions,感情に左右されにくい,1,4.00,5.00
I0169,Am not easily amused,簡単には面白がらない,1,5.00,4.00
I0170,Am not easily annoyed,イライラしにくい,1,4.00,5.00
I0171,Am not easily bothered by things,物事に動じない,,3.00,4.33
I0172,Am not easily distracted,気が散りにくい,1,5.00,3.67
I0173,Am not easily disturbed by events,出来事に動揺しない,1,4.00,4.67
I0174,Am not easily frustrated,イライラしにくい,,3.00,3.67
I0175,Am not easily stirred,感情が揺さぶられにくい,1,4.00,3.67
I0176,Am not embarrassed easily,恥ずかしがらない,,2.00,4.00
I0177,Am not fun to be with,一緒にいて楽しくない,,5.00,2.33
I0178,Am not good at describing the emotions I feel throughout the day,日々の感情をうまく説明できない,,3.00,4.00
I0179,Am not good at figuring out what really matters,本当に大切なことを見極められない,1,4.00,3.67
I0180,Am not good at getting people to like me,人に好かれるのが苦手だ,1,4.00,4.33
I0181,Am not good at planning group activities,グループ活動の計画が苦手だ,,5.00,3.33
I0182,Am not good at taking charge of a group,グループをまとめるのが苦手だ,,3.00,3.67
I0183,Am not good at telling jokes,冗談を言うのが苦手だ,1,5.00,3.67
I0184,Am not good at working with a group,グループで作業するのが苦手だ,1,4.00,3.67
I0185,Am not happy until all the details are taken care of,細部が完璧になるまで満足できない,,3.00,4.67
I0186,Am not highly motivated to succeed,成功への意欲が低い,1,4.00,3.67
I0187,Am not in the mood for anything,何もする気になれない,1,4.00,4.67
I0188,Am not in touch with my feelings,自分の感情に疎い,,3.00,3.67
I0189,Am not interested in abstract ideas,抽象的な考えに興味がない,1,5.00,3.67
I0190,Am not interested in other people�fs problems,他人の問題に無関心だ,1,4.00,4.33
I0191,Am not interested in other people's problems,他人の問題に関心がない,1,5.00,4.00
I0192,Am not interested in speculating about things,物事について推測することに関心がない,,5.00,3.00
I0193,Am not interested in theoretical discussions,理論的な議論に関心がない,1,5.00,4.33
I0194,Am not known for my sense of humor,ユーモアのセンスで知られていない,,5.00,2.67
I0195,Am not really interested in others,他人に関心がない,1,4.00,4.33
I0196,Am not sure where my life is going,自分の人生の方向性が分からない,1,4.00,4.33
I0197,Am not very good at getting things done,物事をやり遂げるのが苦手,1,5.00,5.00
I0198,Am odd,変わっている,1,4.00,5.00
I0199,Am often accused of being narrow-minded,視野が狭いとよく言われる,1,4.00,4.67
I0200,Am often down in the dumps,よく落ち込む,1,5.00,5.00
I0201,Am often fidgety,そわそわすることが多い,1,5.00,4.67
I0202,Am often in a bad mood,機嫌が悪いことが多い,1,5.00,5.00
I0203,Am often late to work,仕事に遅刻することが多い,1,5.00,5.00
I0204,Am often out for revenge,復讐しようとすることが多い,1,4.00,4.33
I0205,Am often so assertive or sociable that I surprise myself,自分でも驚くほど積極的・社交的になる,,3.00,4.33
I0206,Am often so restless that it is impossible for me to sit still,じっと座っていられないほど落ち着かないことが多い,1,5.00,5.00
I0207,Am on good terms with nearly everyone,ほぼ全ての人と良好な関係を築く,1,4.00,4.00
I0208,Am only kind to others if they have been kind to me,相手が親切にしてくれた時だけ親切にする,1,5.00,5.00
I0209,Am open about my feelings,自分の感情をオープンに表す,1,4.00,4.33
I0210,Am open about myself to others,自分のことを他者に率直に話す,1,4.00,4.67
I0211,Am open to change,変化を受け入れる,1,4.00,5.00
I0212,Am open to new experiences,新しい経験を求める,,3.00,5.00
I0213,Am out for my own personal gain,自分の利益を優先する,,3.00,4.33
I0214,Am paralyzed by a fear of rejection,拒絶を恐れて動けなくなる,1,5.00,4.33
I0215,Am passionate about anything I'm involved in,関わることに情熱を注ぐ,1,5.00,3.67
I0216,Am passionate about causes,社会的活動に情熱を持つ,,2.00,5.00
I0217,Am polite to strangers,知らない人にも礼儀正しい,1,5.00,5.00
I0218,Am preoccupied with myself,自分のことで頭がいっぱいだ,1,5.00,4.67
I0219,Am pretty trusting of others' motives,他人の意図を信じやすい,1,4.00,5.00
I0220,Am prone to complain about my health,健康について不満を言いやすい,1,4.00,5.00
I0221,Am proud that I am an ordinary person,平凡な人間であることを誇りに思う,1,5.00,3.67
I0222,Am put off by unexpected events,予期しない出来事に動揺する,,3.00,5.00
I0223,Am quick to correct others,すぐに他人を正そうとする,1,4.00,4.67
I0224,Am quick to judge others,すぐに他人を判断する,1,5.00,4.67
I0225,Am quick to quit when the going gets tough,困難に直面するとすぐに諦める,1,4.00,5.00
I0226,Am quick to understand things,物事をすぐに理解する,1,5.00,5.00
I0227,Am quiet around strangers,知らない人の前では静かにしている,1,5.00,5.00
I0228,Am rarely aware of the natural beauty in the environment,環境の自然美に気づくことが滅多にない,1,4.00,4.00
I0229,Am rarely consulted for advice by others,他人から助言を求められることが滅多にない,1,5.00,5.00
I0230,Am ready to do battle for a cause,大義のためなら戦う覚悟がある,1,4.00,3.67
I0231,Am ready to hit someone when I get angry,怒ると人を殴りたくなる,1,4.00,4.00
I0232,Am relaxed most of the time,たいていリラックスしている,1,5.00,4.67
I0233,Am resigned to my fate,運命に身を任せている,,3.00,4.00
I0234,Am sad most of the time,たいてい悲しい気持ちだ,1,5.00,4.33
I0235,Am secure in my relationships,人間関係に安心感がある,1,5.00,4.67
I0236,Am seldom bothered by the apparent suffering of strangers,他人の苦しみに心を動かされない,,3.00,4.00
I0237,Am sensitive to the needs of others,他者のニーズに敏感だ,1,5.00,3.67
I0238,Am skilled in handling social situations,社交場面を上手く扱える,1,5.00,3.67
I0239,Am so good at controlling others that it sometimes scares me,人を操る能力が怖くなるほどだ,,3.00,2.67
I0240,Am sometimes so preoccupied with my own thoughts I don't realize others are trying to speak to me,自分の考えに没頭して話しかけられても気づかないことがある,1,4.00,5.00
I0241,Am strongly influenced by the good moods of others,他者の良い気分に強く影響される,,5.00,3.33
I0242,Am sure of my ground,自分の立場に自信がある,,3.00,4.33
I0243,Am swayed by my emotions,感情に左右される,1,5.00,4.33
I0244,Am taken advantage of by others,他者に利用される,1,5.00,3.67
I0245,Am the first to act,率先して行動する,1,4.00,5.00
I0246,Am the last to laugh at a joke,冗談を聞いて最後に笑う,,5.00,2.00
I0247,Am the life of the party,パーティーの中心人物になる,1,5.00,4.67
I0248,Am the most important person in someone else's life,誰かの人生で最も大切な存在だ,,5.00,3.33
I0249,Am thrilled when I learn something new,新しいことを学ぶとわくわくする,1,4.00,5.00
I0250,Am told by friends that they do not really know who I am,友人から本当の自分を知られていないと言われる,,4.00,3.00
I0251,Am told that I am a strong but fair leader,強いが公正なリーダーだと言われる,,5.00,3.00
I0252,Am told that I am down to earth,地に足がついていると言われる,,5.00,3.33
I0253,Am true to my own values,自分の価値観に忠実である,1,5.00,4.67
I0254,Am trusted to keep secrets,秘密を守ると信頼される,,5.00,3.00
I0255,Am unaffected by other people's happiness,他人の幸せに影響されない,1,5.00,3.67
I0256,Am unaffected by the suffering of others,他人の苦しみに心を動かされない,1,4.00,4.00
I0257,Am under constant pressure,常にプレッシャーを感じている,1,4.00,4.33
I0258,"Am unpredictable, people never know what I am going to say",予測不可能で何を言うかわからない,1,4.00,4.00
I0259,Am unwilling to accept apologies,謝罪を受け入れようとしない,,3.00,3.67
I0260,Am upset by the misfortunes of strangers,見知らぬ人の不幸に心を痛める,1,5.00,4.67
I0261,Am usually a patient person,たいてい忍耐強い,,5.00,2.67
I0262,Am usually active and full of energy,たいてい活動的でエネルギーに満ちている,,5.00,2.67
I0263,Am usually aware of the way that I'm feeling,たいてい自分の感情に気づいている,,4.00,3.33
I0264,Am usually convinced that my friends and romantic partners will betray me,たいてい友人や恋人に裏切られると確信している,,4.00,1.67
I0265,"Am usually in an average sort of mood, not too high and not too low",たいてい気分は普通で高すぎも低すぎもしない,,5.00,2.67
I0266,Am valued by my friends for my good judgment,友人から良い判断力を評価されている,,5.00,3.00
I0267,Am valued by others for my objectivity,他者から客観性を評価されている,,5.00,2.33
I0268,Am very aware of my surroundings,周囲の状況をよく把握している,1,5.00,4.33
I0269,Am very pleased with myself,自分にとても満足している,1,4.00,3.67
I0270,Am wary of others,他者を警戒する,1,5.00,4.00
I0271,Am who I am because of my faith,信仰が自分を形づくる,,4.00,2.67
I0272,Am willing to take risks,リスクを恐れず行動する,1,4.00,4.67
I0273,Am willing to take risks to establish a relationship,関係を築くためリスクを取る,,5.00,3.33
I0274,Am willing to talk about myself,自分のことを話す,1,4.00,4.33
I0275,Am willing to try anything once,何でも一度は試してみる,1,4.00,4.67
I0276,Amuse my friends,友人を楽しませる,1,5.00,5.00
I0277,Amuse myself easily,一人でも楽しめる,,2.00,5.00
I0278,Anticipate the needs of others,他者のニーズを先読みする,,5.00,3.33
I0279,Appreciate all forms of art,あらゆる芸術を味わう,1,5.00,3.67
I0280,Appreciate good manners,礼儀正しさを重視する,1,4.00,5.00
I0281,Appreciate people who wait on me,世話をしてくれる人に感謝する,,3.00,4.50
I0282,Appreciate the viewpoints of others,他者の視点を尊重する,1,5.00,4.00
I0283,Approach others in a positive manner,前向きな態度で人に接する,1,5.00,5.00
I0284,Ask questions that nobody else does,誰も思いつかない質問をする,1,5.00,5.00
I0285,Ate candy,お菓子を食べた,,4.00,3.00
I0286,Ate dinner alone,一人で夕食を食べた,,5.00,3.00
I0287,Ate food while walking or working,歩きながらまたは仕事中に食べた,,4.00,3.00
I0288,Ate in a restaurant,レストランで食事をした,,5.00,3.00
I0289,Ate or drank while driving,運転中に飲食した,,5.00,3.00
I0290,Ate too much,食べ過ぎた,,5.00,3.00
I0291,Attended a ballet performance,バレエ公演を観に行く,1,4.00,3.67
I0292,Attended a church or religious service,教会や宗教行事に参加する,1,5.00,5.00
I0293,Attended a formal dance,フォーマルなダンスパーティーに参加する,,4.00,3.33
I0294,Attended a public lecture,公開講演会に参加する,1,5.00,5.00
I0295,Attended a rally or demonstration,集会やデモに参加する,1,4.00,5.00
I0296,Attended a stage play or musical,演劇やミュージカルを観に行く,1,4.00,4.33
I0297,Attended a town meeting,町内会や市民集会に参加する,,3.00,5.00
I0298,Attended an athletic event,スポーツ観戦に行く,1,4.00,4.33
I0299,Attended an opera or a concert,オペラやコンサートに行く,1,5.00,4.33
I0300,Attract attention from the opposite sex,異性の注目を集める,1,5.00,4.00
I0301,Automatically take charge,自然とリーダー役を引き受ける,,3.00,5.00
I0302,Avoid activities that are physically dangerous,身体的に危険な活動を避ける,1,5.00,5.00
I0303,Avoid company,人との交流を避ける,,3.00,5.00
I0304,Avoid contacts with others,他者との接触を避ける,1,5.00,5.00
I0305,Avoid crowds,人混みを避ける,1,5.00,5.00
I0306,Avoid dangerous situations,危険な状況を避ける,1,5.00,5.00
I0307,Avoid dealing with awkward situations,気まずい状況に対処することを避ける,1,5.00,4.00
I0308,Avoid dealing with uncomfortable emotions,不快な感情と向き合うことを避ける,1,4.00,4.67
I0309,Avoid difficult reading material,難しい読み物を避ける,1,5.00,5.00
I0310,Avoid imposing my will on others,自分の意志を他者に押し付けない,1,4.00,4.67
I0311,Avoid mistakes,失敗を避ける,,2.00,3.33
I0312,Avoid philosophical discussions,哲学的な議論を避ける,,5.00,3.33
I0313,Avoid responsibilities,責任を避ける,,4.00,3.33
I0314,Awaken with a sense of excitement about the day's possibilities,その日の可能性にワクワクして目覚める,1,4.00,4.33
I0315,Back out at the last moment,土壇場で約束を破る,,2.00,4.33
I0316,"Baked a cake, pie, cookies, or bread",ケーキやパンを焼いた,,2.00,3.33
I0317,Barge in on conversations,会話に割り込む,1,4.00,4.33
I0318,"Base my goals in life on inspiration, rather than logic",論理より直感で人生の目標を決める,,3.00,4.00
I0319,Bathed or groomed a pet animal,ペットを洗ったり手入れした,,5.00,3.33
I0320,Be a bounty hunter,賞金稼ぎになる,,5.00,2.33
I0321,Be a chemist,化学者になりたい,1,4.00,5.00
I0322,Be a counselor or therapist,カウンセラーや心理療法士になりたい,1,4.00,5.00
I0323,Be a doctor or nurse,医師や看護師になりたい,1,5.00,5.00
I0324,Be a farmer,農家になりたい,1,5.00,5.00
I0325,Be a foreign correspondent,海外特派員になりたい,1,5.00,4.67
I0326,Be a forest ranger,森林保護官になりたい,1,5.00,5.00
I0327,Be a librarian,司書になりたい,1,5.00,5.00
I0328,Be a long-distance bicycle rider,長距離自転車旅行をしたい,,3.00,5.00
I0329,Be a mathematician,数学者になりたい,1,5.00,5.00
I0330,Be a military officer,軍の将校になりたい,1,5.00,4.00
I0331,"Be a minister, priest, rabbi or other religious teacher",聖職者や宗教指導者になる,,3.00,3.00
I0332,Be a physical therapist,理学療法士になる,1,5.00,4.67
I0333,Be a physicist,物理学者になる,1,5.00,4.67
I0334,Be a police officer,警察官になる,1,5.00,4.67
I0335,Be a professional athlete,プロスポーツ選手になる,1,5.00,4.67
I0336,Be a professional dancer,プロダンサーになる,1,5.00,4.33
I0337,Be a professor of English,英文学の教授になる,,3.00,4.00
I0338,Be a purchasing agent,購買担当者になる,,5.00,3.33
I0339,Be a racing car driver,レーシングドライバーになる,1,5.00,4.67
I0340,Be a sales or marketing director,営業・マーケティング責任者になる,1,4.00,4.33
I0341,Be a scientific reporter,科学記者になる,,5.00,3.00
I0342,Be a social worker,ソーシャルワーカーになる,1,5.00,4.00
I0343,Be a state governor or senator,知事や議員になる,,3.00,3.67
I0344,Be a statistician,統計学者になる,1,5.00,4.00
I0345,Be a translator or interpreter,翻訳者や通訳者になる,1,5.00,4.00
I0346,Be an actor or actress,俳優になる,1,4.00,4.00
I0347,Be an artist or architect,芸術家や建築家になる,,4.00,3.33
I0348,Be an elementary-school teacher,小学校教師になる,1,5.00,4.00
I0349,Be an office manager,オフィスマネージャーになる,,5.00,2.67
I0350,Be the chief executive of a large company,大企業の経営トップになる,1,4.00,3.67
I0351,Be the financial officer for a company,会社の財務責任者を務める,,4.00,3.33
I0352,Be the master of ceremonies at a meeting,会議の司会を務める,,3.00,4.33
I0353,Became intoxicated,酔っぱらう,1,4.00,5.00
I0354,Become frustrated and angry with people when they don't live up to my expectations,期待通りでないと人にイライラする,1,4.00,4.33
I0355,Become overwhelmed by events,出来事に圧倒されてしまう,1,5.00,4.33
I0356,Begin to answer before the other person finishes the question,相手の質問が終わる前に答え始める,1,5.00,5.00
I0357,Begin to panic when there is danger,危険が迫るとパニックになる,1,4.00,5.00
I0358,Behave in unusual and strange ways,風変わりな行動をする,1,4.00,4.67
I0359,Behave properly,きちんとした行動をする,1,5.00,5.00
I0360,Believe appearances are important,外見を重視する,1,4.00,5.00
I0361,Believe crying helps me feel better,泣くと気分が楽になると思う,1,5.00,4.00
I0362,Believe emotions give direction to life,感情が人生の方向性を与えると思う,,4.00,3.00
I0363,Believe I have supernatural powers,超能力を持っていると思う,,3.00,5.00
I0364,Believe important decisions should be based on logical reasoning,重要な決定は論理的推論に基づくべきだと思う,1,5.00,4.00
I0365,Believe in a logical answer for everything,全てに論理的な答えがあると思う,1,5.00,4.00
I0366,Believe in a universal power or God,普遍的な力や神を信じる,1,5.00,5.00
I0367,Believe in an eye for an eye,目には目をの考え方に賛成する,,4.00,3.33
I0368,Believe in equality between all races,全ての人種の平等を信じる,1,5.00,5.00
I0369,Believe in human goodness,人間の善良さを信じる,1,5.00,5.00
I0370,Believe in one true religion,唯一の真の宗教があると思う,,4.00,3.33
I0371,Believe in sexual modesty,性的に慎み深くあるべきだと思う,,3.00,4.33
I0372,Believe in the importance of art,芸術が重要だと思う,1,5.00,5.00
I0373,Believe in the importance of tradition,伝統が重要だと思う,1,5.00,5.00
I0374,Believe in the power of fate,運命の力を信じる,1,5.00,5.00
I0375,Believe it is always better to be safe than sorry,後悔するより安全策を選ぶ,,3.00,4.00
I0376,Believe kids need tough love,子どもには厳しさが必要だと思う,,3.00,5.00
I0377,Believe laws should be strictly enforced,法律は厳格に執行すべきだと思う,1,5.00,4.67
I0378,Believe only in myself,自分自身しか信じない,1,4.00,4.67
I0379,Believe people should fend for themselves,人は自力で何とかすべきだと思う,,3.00,4.33
I0380,Believe some people are born lucky,生まれつき運がいい人がいると思う,1,5.00,5.00
I0381,Believe strongly that the world would be a much better place if I had my way,自分のやり方が実現すれば世界はもっと良くなると強く信じている,,4.00,3.00
I0382,Believe that by working hard a person can achieve anything,努力すれば何でも達成できると信じている,1,4.00,5.00
I0383,Believe that criminals should receive help rather than punishment,犯罪者には罰よりも支援が必要だと信じている,1,4.00,4.00
I0384,Believe that each person has a purpose in life,人生には誰にも目的があると信じている,,5.00,3.00
I0385,Believe that events in my life are determined only by me,人生の出来事は自分だけで決まると信じている,,4.00,3.00
I0386,Believe that everyone should have a say,誰もが発言権を持つべきだと信じている,1,4.00,4.00
I0387,Believe that everyone's rights are equally important,誰の権利も等しく重要だと信じている,1,5.00,5.00
I0388,Believe that honesty is the basis for trust,正直さは信頼の基盤だと信じている,1,4.00,5.00
I0389,Believe that I am always right,自分はいつも正しいと信じている,1,5.00,4.67
I0390,Believe that I am better than others,自分は他人より優れていると信じている,1,4.00,4.67
I0391,Believe that I am important,自分は重要な存在だと思う,1,4.00,3.67
I0392,Believe that it is best to forgive and forget,許して忘れるのが最善だと思う,1,5.00,4.67
